Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
Z12345678,DEMO BROKERAGE,AAPL,APPLE INC,20,$210.00,+$1.50,"$4,200.00",+$30.00,+0.72%,"+$1,200.00",+40.00%,14.2%,"$3,000.00",$150.00,Cash
Z12345678,DEMO BROKERAGE,JPM,JPMORGAN CHASE & CO,15,$290.00,-$2.10,"$4,350.00",-$31.50,-0.72%,"+$1,950.00",+81.25%,14.7%,"$2,400.00",$160.00,Cash
Z12345678,DEMO BROKERAGE,HIMS,HIMS & HERS HEALTH INC,40,$45.00,+$0.85,"$1,800.00",+$34.00,+1.92%,+$500.00,+38.46%,6.1%,"$1,300.00",$32.50,Cash
Z12345678,DEMO BROKERAGE,TALO,TALOS ENERGY INC,150,$16.00,-$0.20,"$2,400.00",-$30.00,-1.23%,+$400.00,+20.00%,8.1%,"$2,000.00",$13.33,Cash
Z12345678,DEMO BROKERAGE,CVLG,COVENANT LOGISTICS GROUP INC,30,$27.00,+$0.15,$810.00,+$4.50,+0.56%,+$10.00,+1.25%,2.7%,$800.00,$26.67,Cash
Z12345678,DEMO BROKERAGE,IMMR,IMMERSION CORP,100,$8.50,-$0.05,$850.00,-$5.00,-0.58%,-$50.00,-5.56%,2.9%,$900.00,$9.00,Cash
Z12345678,DEMO BROKERAGE,VOO,VANGUARD S&P 500 ETF,12,$560.00,+$3.20,"$6,720.00",+$38.40,+0.57%,"+$1,520.00",+29.23%,22.7%,"$5,200.00",$433.33,Cash
Z12345678,DEMO BROKERAGE,SPY,SPDR S&P 500 ETF TRUST,5,$610.00,+$3.50,"$3,050.00",+$17.50,+0.58%,+$450.00,+17.31%,10.3%,"$2,600.00",$520.00,Cash
Z12345678,DEMO BROKERAGE,BND,VANGUARD TOTAL BOND MARKET ETF,40,$73.00,+$0.10,"$2,920.00",+$4.00,+0.14%,-$80.00,-2.67%,9.9%,"$3,000.00",$75.00,Cash
Z12345678,DEMO BROKERAGE,SPAXX**,FIDELITY GOVERNMENT MONEY MARKET,2500.00,$1.00,,"$2,500.00",,,,,8.4%,,,Cash
Z12345678,DEMO BROKERAGE,Pending Activity,,,,,$150.25,,,,,,,,
Z87654321,DEMO IRA,FXAIX,FIDELITY 500 INDEX FUND,30,$195.00,+$1.10,"$5,850.00",+$33.00,+0.57%,+$450.00,+8.33%,86.7%,"$5,400.00",$180.00,Cash
Z87654321,DEMO IRA,FXNAX,FIDELITY US BOND INDEX FUND,60,$10.50,+$0.02,$630.00,+$1.20,+0.19%,+$10.00,+1.61%,9.3%,$620.00,$10.33,Cash
Z87654321,DEMO IRA,SPAXX**,FIDELITY GOVERNMENT MONEY MARKET,800.00,$1.00,,$800.00,,,,,4.0%,,,Cash

"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. This is sample data for the Anchor demo portfolio."
"Date downloaded 07/01/2026 6:30 PM ET"
